CO_ENTIDADE,NO_ENTIDADE,CO_ORGAO_REGIONAL,CO_REGIAO,CO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,IN_CONVENIADA_PP,TP_CONVENIO_PODER_PUBLICO,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_SALA_ATENDIMENTO_ESPECIAL,IN_QUADRA_ESPORTES,IN_BIBLIOTECA_SALA_LEITURA,IN_PARQUE_INFANTIL,IN_BERCARIO,IN_BANHEIRO_DENTRO_PREDIO,IN_BANHEIRO_EI,IN_BANHEIRO_PNE,IN_DEPENDENCIAS_PNE,IN_BANHEIRO_CHUVEIRO,IN_REFEITORIO,IN_AUDITORIO,IN_PATIO_COBERTO,IN_PATIO_DESCOBERTO,IN_ALOJAM_ALUNO,IN_AREA_VERDE,IN_LAVANDERIA,IN_INTERNET,IN_ALIMENTACAO,TP_ATIVIDADE_COMPLEMENTAR,IN_EDUCACAO_INDIGENA,IN_FINAL_SEMANA
43173314,ESC DE ENS FUND PROF ANA MARIA MONTEGGIA,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
43207790,EEI JEITO INOCENTE,1,4,4305,43026,43,4314902,431490205,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43191436,CENASA SEMEAR,1,4,4305,43026,43,4314902,431490205,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43188028,ESCOLA DE EDUCACAO INFANTIL RECANTO DO PIA LTDA,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
43188036,5088 IEI VINDE A MIM AS CRIANCINHAS,1,4,4305,43026,43,4314902,431490205,4,4,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0
43188044,ESCOLA DE EDUCACAO INFANTIL CORACAO MAGICO,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
43188060,ESCOLA INFANTIL BICHO CARPINTEIRO-2M LTDA,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
43188079,5092 EEI NOSSA SENHORA DA SAUDE,1,4,4305,43026,43,4314902,431490205,4,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
43188087,CREARE CULTURA RECREACAO ARTES E EDUCACAO,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0
43188125,5109 EEI ANANDA MARGA RESTINGA NOVA 1,1,4,4305,43026,43,4314902,431490205,4,2,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0
43188141,5009 IEI SANTA CATARINA,1,4,4305,43026,43,4314902,431490205,4,2,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0
43188150,5111 EEI ANANDA MARGA BARRO VERMELHO,1,4,4305,43026,43,4314902,431490205,4,2,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
43188168,EEI MARISTA NOSSA SENHORA APARECIDA DAS AGUAS,1,4,4305,43026,43,4314902,431490205,4,4,0,NA,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0
43188184,5022 EEI MARISTA TIA JUSSARA,1,4,4305,43026,43,4314902,431490205,4,4,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0
43105114,COLEGIO SAO JUDAS TADEU,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0
43105130,COLEGIO MARISTA SAO PEDRO,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
43105149,COLEGIO BOM JESUS SEVIGNE,1,4,4305,43026,43,4314902,431490205,4,1,0,NA,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0
43105165,ESC TECNICA EST IRMAO PEDRO,1,4,4305,43026,43,4314902,431490205,2,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
